Points_0,Points_1,Points_2,qr
0,0,0.05,35517.8
0.001,0,0.05,-49659.9
0.002,0,0.05,-49636.1
0.003,0,0.05,-49612.3
0.004,0,0.05,-49588.6
0.005,0,0.05,-49564.8
0.006,0,0.05,-49541.1
0.007,0,0.05,-49517.3
0.008,0,0.05,-49493.6
0.009,0,0.05,-49469.8
0.01,0,0.05,-49446.1
0.011,0,0.05,-49422.3
0.012,0,0.05,-49398.6
0.013,0,0.05,-49374.8
0.014,0,0.05,-49351.1
0.015,0,0.05,-49327.3
0.016,0,0.05,-49303.6
0.017,0,0.05,-49279.8
0.018,0,0.05,-49256.1
0.019,0,0.05,-49232.3
0.02,0,0.05,-49208.6
0.021,0,0.05,-49184.8
0.022,0,0.05,-49161.1
0.023,0,0.05,-49137.3
0.024,0,0.05,-49113.6
0.025,0,0.05,-49089.8
0.026,0,0.05,-49066.1
0.027,0,0.05,-49042.3
0.028,0,0.05,-49018.6
0.029,0,0.05,-48994.8
0.03,0,0.05,-48971.1
0.031,0,0.05,-48947.3
0.032,0,0.05,-48923.6
0.033,0,0.05,-48899.8
0.034,0,0.05,-48866.3
0.035,0,0.05,-48827.8
0.036,0,0.05,-48789.3
0.037,0,0.05,-48750.9
0.038,0,0.05,-48712.4
0.039,0,0.05,-48673.9
0.04,0,0.05,-48635.5
0.041,0,0.05,-48597
0.042,0,0.05,-48558.6
0.043,0,0.05,-48520.1
0.044,0,0.05,-48481.6
0.045,0,0.05,-48443.2
0.046,0,0.05,-48404.7
0.047,0,0.05,-48366.3
0.048,0,0.05,-48327.8
0.049,0,0.05,-48289.3
0.05,0,0.05,-48250.9
0.051,0,0.05,-48212.4
0.052,0,0.05,-48174
0.053,0,0.05,-48135.5
0.054,0,0.05,-48097
0.055,0,0.05,-48058.6
0.056,0,0.05,-48020.1
0.057,0,0.05,-47981.6
0.058,0,0.05,-47943.2
0.059,0,0.05,-47904.7
0.06,0,0.05,-47866.3
0.061,0,0.05,-47827.8
0.062,0,0.05,-47789.3
0.063,0,0.05,-47750.9
