Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0,0,0.05,0.05,0,17408.4,17408.4
0.001,0,0.05,0.05001,-3544.01,15995.1,12451.1
0.002,0,0.05,0.05004,-3544.01,16025.8,12481.8
0.003,0,0.05,0.0500899,-3544.01,16056.5,12512.5
0.004,0,0.05,0.0501597,-3544.01,16087.2,12543.2
0.005,0,0.05,0.0502494,-3544.01,16118,12574
0.006,0,0.05,0.0503587,-3544.01,16148.7,12604.7
0.007,0,0.05,0.0504876,-3544.01,16179.4,12635.4
0.008,0,0.05,0.050636,-3544.01,16210.1,12666.1
0.009,0,0.05,0.0508035,-3544.01,16240.8,12696.8
0.01,0,0.05,0.0509902,-3544.01,16271.5,12727.5
0.011,0,0.05,0.0511957,-3544.01,16302.2,12758.2
0.012,0,0.05,0.0514198,-3544.01,16332.9,12788.9
0.013,0,0.05,0.0516624,-3544.01,16363.7,12819.7
0.014,0,0.05,0.051923,-3544.01,16394.4,12850.4
0.015,0,0.05,0.0522015,-3544.01,16425.1,12881.1
0.016,0,0.05,0.0524976,-3544.01,16455.8,12911.8
0.017,0,0.05,0.052811,-3544.01,16486.5,12942.5
0.018,0,0.05,0.0531413,-3544.01,16517.2,12973.2
0.019,0,0.05,0.0534883,-3544.01,16547.9,13003.9
0.02,0,0.05,0.0538516,-3544.01,16578.6,13034.6
0.021,0,0.05,0.054231,-3544.01,16609.4,13065.4
0.022,0,0.05,0.054626,-3544.01,16640.1,13096.1
0.023,0,0.05,0.0550364,-3544.01,16670.8,13126.8
0.024,0,0.05,0.0554617,-3544.01,16701.5,13157.5
0.025,0,0.05,0.0559017,-3544.01,16732.2,13188.2
0.026,0,0.05,0.056356,-3544.01,16762.9,13218.9
0.027,0,0.05,0.0568243,-3544.01,16793.6,13249.6
0.028,0,0.05,0.0573062,-3544.01,16824.3,13280.3
0.029,0,0.05,0.0578014,-3544.01,16855,13311
0.03,0,0.05,0.0583095,-3544.01,16885.8,13341.8
0.031,0,0.05,0.0588303,-3544.01,16916.5,13372.5
0.032,0,0.05,0.0593633,-3544.01,16947.2,13403.2
0.033,0,0.05,0.0599083,-3544.01,16977.9,13433.9
0.034,0,0.05,0.0604649,-3544.01,17008.6,13464.6
