Points_0,Points_1,Points_2,qr
0,1,0.05,8903.32
0.001,1,0.05,8913.79
0.002,1,0.05,8924.26
0.003,1,0.05,8934.72
0.004,1,0.05,8945.19
0.005,1,0.05,8955.66
0.006,1,0.05,8966.13
0.007,1,0.05,8976.6
0.008,1,0.05,8987.06
0.009,1,0.05,8997.53
0.01,1,0.05,9008
0.011,1,0.05,9018.47
0.012,1,0.05,9028.94
0.013,1,0.05,9039.41
0.014,1,0.05,9049.87
0.015,1,0.05,9060.34
0.016,1,0.05,9070.81
0.017,1,0.05,9081.28
0.018,1,0.05,9091.75
0.019,1,0.05,9102.21
0.02,1,0.05,9112.68
0.021,1,0.05,9123.15
0.022,1,0.05,9133.62
0.023,1,0.05,9144.09
0.024,1,0.05,9154.55
0.025,1,0.05,9165.02
0.026,1,0.05,9175.49
0.027,1,0.05,9185.96
0.028,1,0.05,9196.43
0.029,1,0.05,9206.89
0.03,1,0.05,9217.36
0.031,1,0.05,9227.83
0.032,1,0.05,9238.3
0.033,1,0.05,9248.77
0.034,1,0.05,9264.96
0.035,1,0.05,9284.02
0.036,1,0.05,9303.08
0.037,1,0.05,9322.13
0.038,1,0.05,9341.19
0.039,1,0.05,9360.25
0.04,1,0.05,9379.3
0.041,1,0.05,9398.36
0.042,1,0.05,9417.42
0.043,1,0.05,9436.48
0.044,1,0.05,9455.53
0.045,1,0.05,9474.59
0.046,1,0.05,9493.65
0.047,1,0.05,9512.7
0.048,1,0.05,9531.76
0.049,1,0.05,9550.82
0.05,1,0.05,9569.88
0.051,1,0.05,9588.93
0.052,1,0.05,9607.99
0.053,1,0.05,9627.05
0.054,1,0.05,9646.1
0.055,1,0.05,9665.16
0.056,1,0.05,9684.22
0.057,1,0.05,9703.28
0.058,1,0.05,9722.33
0.059,1,0.05,9741.39
0.06,1,0.05,9760.45
0.061,1,0.05,9779.5
0.062,1,0.05,9798.56
0.063,1,0.05,9817.62
0.064,1,0.05,9836.68
0.065,1,0.05,9855.73
0.066,1,0.05,9874.79
0.067,1,0.05,9892.64
0.068,1,0.05,9908.09
0.069,1,0.05,9923.53
0.07,1,0.05,9938.98
0.071,1,0.05,9954.42
0.072,1,0.05,9969.86
0.073,1,0.05,9985.31
0.074,1,0.05,10000.8
0.075,1,0.05,10016.2
0.076,1,0.05,10031.6
0.077,1,0.05,10047.1
0.078,1,0.05,10062.5
0.079,1,0.05,10078
0.08,1,0.05,10093.4
0.081,1,0.05,10108.9
0.082,1,0.05,10124.3
0.083,1,0.05,10139.7
0.084,1,0.05,10155.2
0.085,1,0.05,10170.6
0.086,1,0.05,10186.1
0.087,1,0.05,10201.5
0.088,1,0.05,10217
