# Region      : all heater
# Cells       : 100
# Volume      : 4.000000e-06
# Time        	max(T)
0.00120048    	3.000033e+02
0.00264175    	3.000073e+02
0.00437027    	3.000121e+02
0.0064445     	3.000179e+02
0.00893462    	3.000248e+02
0.0119198     	3.000331e+02
0.0154998     	3.000431e+02
0.0197989     	3.000550e+02
0.0249578     	3.000693e+02
0.031129      	3.000865e+02
0.0385249     	3.001070e+02
0.0474275     	3.001317e+02
0.0581306     	3.001615e+02
0.0710329     	3.001973e+02
0.0865157     	3.002403e+02
0.105158      	3.002920e+02
0.127529      	3.003540e+02
0.153968      	3.004272e+02
0.185302      	3.005136e+02
0.222334      	3.006152e+02
0.265538      	3.007326e+02
0.317999      	3.008734e+02
0.379999      	3.010365e+02
0.457499      	3.012344e+02
0.547916      	3.014566e+02
0.660937      	3.017200e+02
0.773958      	3.019690e+02
0.886979      	3.022044e+02
1             	3.024268e+02
1.125         	3.023148e+02
1.25          	3.021986e+02
1.375         	3.020836e+02
1.5           	3.019737e+02
1.625         	3.018709e+02
1.75          	3.017765e+02
1.875         	3.016904e+02
2             	3.016127e+02
2.125         	3.015426e+02
2.25          	3.014795e+02
2.375         	3.014230e+02
2.5           	3.013721e+02
2.625         	3.013265e+02
2.75          	3.012854e+02
2.875         	3.012484e+02
3             	3.012151e+02
3.125         	3.011851e+02
3.25          	3.011579e+02
3.375         	3.011333e+02
3.5           	3.011110e+02
3.625         	3.010908e+02
3.75          	3.010729e+02
3.875         	3.010566e+02
4             	3.010416e+02
4.125         	3.010279e+02
4.25          	3.010153e+02
4.375         	3.010036e+02
4.5           	3.009929e+02
4.625         	3.009830e+02
4.75          	3.009738e+02
4.875         	3.009653e+02
5             	3.009573e+02
5.125         	3.009500e+02
5.25          	3.009431e+02
5.375         	3.009367e+02
5.5           	3.009306e+02
5.625         	3.009250e+02
5.75          	3.009197e+02
5.875         	3.009147e+02
6             	3.009099e+02
6.125         	3.009055e+02
6.25          	3.009013e+02
6.375         	3.008972e+02
6.5           	3.008934e+02
6.625         	3.008898e+02
6.75          	3.008863e+02
6.875         	3.008830e+02
7             	3.008798e+02
7.125         	3.008768e+02
7.25          	3.008739e+02
7.375         	3.008711e+02
7.5           	3.008683e+02
7.625         	3.008657e+02
7.75          	3.008632e+02
7.875         	3.008607e+02
8             	3.008584e+02
8.125         	3.008561e+02
8.25          	3.008538e+02
8.375         	3.008516e+02
8.5           	3.008495e+02
8.625         	3.008475e+02
8.75          	3.008455e+02
8.875         	3.008436e+02
9             	3.008417e+02
9.125         	3.008398e+02
9.25          	3.008380e+02
9.375         	3.008362e+02
9.5           	3.008345e+02
9.625         	3.008328e+02
9.75          	3.008311e+02
9.875         	3.008294e+02
10            	3.008278e+02
