# Region      : all metal
# Cells       : 270
# Volume      : 1.080000e-05
# Time        	max(T)
0.00120048    	3.000000e+02
0.00264175    	3.000001e+02
0.00437027    	3.000002e+02
0.0064445     	3.000005e+02
0.00893462    	3.000009e+02
0.0119198     	3.000016e+02
0.0154998     	3.000026e+02
0.0197989     	3.000041e+02
0.0249578     	3.000063e+02
0.031129      	3.000093e+02
0.0385249     	3.000133e+02
0.0474275     	3.000188e+02
0.0581306     	3.000260e+02
0.0710329     	3.000355e+02
0.0865157     	3.000479e+02
0.105158      	3.000638e+02
0.127529      	3.000841e+02
0.153968      	3.001096e+02
0.185302      	3.001412e+02
0.222334      	3.001801e+02
0.265538      	3.002270e+02
0.317999      	3.002846e+02
0.379999      	3.003535e+02
0.457499      	3.004381e+02
0.547916      	3.005375e+02
0.660937      	3.006565e+02
0.773958      	3.007837e+02
0.886979      	3.009136e+02
1             	3.010444e+02
1.125         	3.011823e+02
1.25          	3.012292e+02
1.375         	3.012469e+02
1.5           	3.012502e+02
1.625         	3.012453e+02
1.75          	3.012355e+02
1.875         	3.012226e+02
2             	3.012079e+02
2.125         	3.011922e+02
2.25          	3.011760e+02
2.375         	3.011597e+02
2.5           	3.011435e+02
2.625         	3.011277e+02
2.75          	3.011124e+02
2.875         	3.010975e+02
3             	3.010832e+02
3.125         	3.010696e+02
3.25          	3.010566e+02
3.375         	3.010442e+02
3.5           	3.010324e+02
3.625         	3.010212e+02
3.75          	3.010106e+02
3.875         	3.010006e+02
4             	3.009911e+02
4.125         	3.009821e+02
4.25          	3.009737e+02
4.375         	3.009656e+02
4.5           	3.009581e+02
4.625         	3.009509e+02
4.75          	3.009441e+02
4.875         	3.009377e+02
5             	3.009316e+02
5.125         	3.009258e+02
5.25          	3.009203e+02
5.375         	3.009151e+02
5.5           	3.009101e+02
5.625         	3.009054e+02
5.75          	3.009009e+02
5.875         	3.008967e+02
6             	3.008926e+02
6.125         	3.008887e+02
6.25          	3.008849e+02
6.375         	3.008814e+02
6.5           	3.008779e+02
6.625         	3.008746e+02
6.75          	3.008714e+02
6.875         	3.008684e+02
7             	3.008655e+02
7.125         	3.008626e+02
7.25          	3.008599e+02
7.375         	3.008572e+02
7.5           	3.008547e+02
7.625         	3.008522e+02
7.75          	3.008498e+02
7.875         	3.008475e+02
8             	3.008452e+02
8.125         	3.008430e+02
8.25          	3.008408e+02
8.375         	3.008387e+02
8.5           	3.008367e+02
8.625         	3.008347e+02
8.75          	3.008327e+02
8.875         	3.008308e+02
9             	3.008290e+02
9.125         	3.008272e+02
9.25          	3.008254e+02
9.375         	3.008236e+02
9.5           	3.008219e+02
9.625         	3.008202e+02
9.75          	3.008186e+02
9.875         	3.008169e+02
10            	3.008153e+02
